Paintings,"Score (P,U)",Room_ID,image,Stories,"Score (P,pop)"
000-04IE-0000,0.980601465601752,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00NJ-0000/full/256,/0/default.jpg",Uncategorised,0
000-03XA-0000,0.9803876373943798,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-003V-0000/full/256,/0/default.jpg",Uncategorised,0
000-0327-0000,0.9797855737188867,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01H0-0000/full/256,/0/default.jpg",Uncategorised,0
000-04UK-0000,0.979588981822774,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01F4-0000/full/256,/0/default.jpg",Uncategorised,0
000-01AZ-0000,0.9794008414962616,006-002L-0000,"https://media.ng-london.org.uk/iiif/009-00QS-0000/full/256,/0/default.jpg",Uncategorised,0
000-03Z9-0000,0.9787962932095492,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-005Q-0000/full/256,/0/default.jpg",Uncategorised,0
000-03XC-0000,0.9786970311022584,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01RI-0000/full/256,/0/default.jpg",Uncategorised,0
000-03UQ-0000,0.9786449047140108,006-001F-0000,"https://media.ng-london.org.uk/iiif/009-00G0-0000/full/256,/0/default.jpg",Uncategorised,0
000-03VE-0000,0.978474606511032,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00CY-0000/full/256,/0/default.jpg",Uncategorised,0
000-01DQ-0000,0.9781785638847108,006-000L-0000,"https://media.ng-london.org.uk/iiif/009-00C8-0000/full/256,/0/default.jpg",Uncategorised,0
000-040V-0000,0.9781547899638684,006-001F-0000,"https://media.ng-london.org.uk/iiif/009-00UF-0000/full/256,/0/default.jpg",Uncategorised,0
000-018O-0000,0.9781253609672396,006-000C-0000,"https://media.ng-london.org.uk/iiif/009-0188-0000/full/256,/0/default.jpg",Uncategorised,0
000-0181-0000,0.9777192215307656,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0187-0000/full/256,/0/default.jpg",Uncategorised,0
000-043N-0000,0.9775847678403546,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0148-0000/full/256,/0/default.jpg",Uncategorised,0
000-04JE-0000,0.977344275358096,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00ZA-0000/full/256,/0/default.jpg",Uncategorised,0
000-04U8-0000,0.9772394475289654,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-003G-0000/full/256,/0/default.jpg",Uncategorised,0
000-03PB-0000,0.9771779051058496,006-0026-0000,"https://media.ng-london.org.uk/iiif/009-01T4-0000/full/256,/0/default.jpg",Uncategorised,0
000-04TG-0000,0.976389818506144,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01FJ-0000/full/256,/0/default.jpg",Uncategorised,0
000-02RN-0000,0.9763707181180714,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01AH-0000/full/256,/0/default.jpg",Uncategorised,0
000-04H3-0000,0.9763340983349362,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-013R-0000/full/256,/0/default.jpg",Uncategorised,0
000-03S9-0000,0.9762997604515312,006-0025-0000,"https://media.ng-london.org.uk/iiif/009-00R9-0000/full/256,/0/default.jpg",Uncategorised,0
000-02Q3-0000,0.9760493519826068,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01OA-0000/full/256,/0/default.jpg",Uncategorised,0
000-03VC-0000,0.9753133281571956,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01HX-0000/full/256,/0/default.jpg",Uncategorised,0
000-03QK-0000,0.9751386285788436,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00XJ-0000/full/256,/0/default.jpg",Uncategorised,0
000-03Q7-0000,0.9743742608771848,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-006H-0000/full/256,/0/default.jpg",Uncategorised,0
000-02TH-0000,0.9743616517970826,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-001D-0000/full/256,/0/default.jpg",Uncategorised,0
