Paintings,"Score (P,U)",Room_ID,image,Stories,"Score (P,pop)",Score_AG (P),Time_est
000-041D-0000,0.8443490626068041,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-006F-0000/full/256,/0/default.jpg",Uncategorised,0,0.5840874612947365,48
000-03H5-0000,0.8442088893697188,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-017I-0000/full/256,/0/default.jpg",Uncategorised,0,0.5839904949643212,19
000-02Z9-0000,0.8441545961545236,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01P5-0000/full/256,/0/default.jpg",Uncategorised,0,0.5839529370541708,24
000-03GM-0000,0.8438290715684373,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00VJ-0000/full/256,/0/default.jpg",Uncategorised,0,0.5837277519530124,35
000-02PH-0000,0.843545500557831,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01G1-0000/full/256,/0/default.jpg",Uncategorised,0,0.5835315886847422,19
000-02WD-0000,0.8433433319887258,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00FR-0000/full/256,/0/default.jpg",Uncategorised,0,0.5833917364227906,46
000-04UD-0000,0.8431513460782485,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01BN-0000/full/256,/0/default.jpg",Uncategorised,0,0.5832589281234496,20
000-02Z4-0000,0.8430174836621802,006-0008-0000,"https://media.ng-london.org.uk/iiif/009-01TJ-0000/full/256,/0/default.jpg",Uncategorised,0,0.5831663273707198,22
000-0199-0000,0.8429118671409461,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00KW-0000/full/256,/0/default.jpg",Uncategorised,0,0.5830932660167248,35
000-03OG-0000,0.8424962327554484,006-000B-0000,"https://media.ng-london.org.uk/iiif/009-00F7-0000/full/256,/0/default.jpg",Uncategorised,0,0.5828057465016292,55
000-04VG-0000,0.8423928435417669,006-0027-0000,"https://media.ng-london.org.uk/iiif/009-00YO-0000/full/256,/0/default.jpg",Uncategorised,0,0.5827342259113676,21
000-042Z-0000,0.8421573469287122,006-000A-0000,"https://media.ng-london.org.uk/iiif/009-01IV-0000/full/256,/0/default.jpg",Uncategorised,0,0.5825713186198762,18
000-04R7-0000,0.8419709867697325,006-0019-0000,"https://media.ng-london.org.uk/iiif/009-01LL-0000/full/256,/0/default.jpg",Uncategorised,0,0.5824424019940805,42
000-04IU-0000,0.8417925828104038,006-001F-0000,"https://media.ng-london.org.uk/iiif/009-01D2-0000/full/256,/0/default.jpg",Uncategorised,0,0.5823189891541735,24
000-03GS-0000,0.8417835441951311,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01UJ-0000/full/256,/0/default.jpg",Uncategorised,0,0.5823127365957447,46
000-02YW-0000,0.8413758951622228,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01NY-0000/full/256,/0/default.jpg",Uncategorised,0,0.5820307410333933,44
000-0814-0000,0.8413680233145953,006-000S-0000,"https://media.ng-london.org.uk/iiif/009-00FH-0000/full/256,/0/default.jpg",Uncategorised,0,0.5820252955989158,55
000-04ON-0000,0.8413230691777023,006-001R-0000,"https://media.ng-london.org.uk/iiif/009-01DA-0000/full/256,/0/default.jpg",Uncategorised,0,0.5819941980956966,27
000-0169-0000,0.8411710327300979,006-0011-0000,"https://media.ng-london.org.uk/iiif/009-00CT-0000/full/256,/0/default.jpg",Uncategorised,0,0.5818890252629925,34
000-043Z-0000,0.8410007583312256,006-000Y-0000,"https://media.ng-london.org.uk/iiif/009-00KM-0000/full/256,/0/default.jpg",Uncategorised,0,0.5817712361331582,21
000-04MC-0000,0.8409392209715878,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01JV-0000/full/256,/0/default.jpg",Water,0,0.5817286670088974,34
000-04J2-0000,0.8408153028309622,006-0020-0000,"https://media.ng-london.org.uk/iiif/009-01OC-0000/full/256,/0/default.jpg",Uncategorised,0,0.5816429453146695,34
000-01BW-0000,0.8407391678023783,006-002L-0000,"https://media.ng-london.org.uk/iiif/009-00HH-0000/full/256,/0/default.jpg",Uncategorised,0,0.5815902780973651,39
000-04PY-0000,0.8404762209215391,006-001V-0000,"https://media.ng-london.org.uk/iiif/009-019K-0000/full/256,/0/default.jpg",Contemporary_Style_and_Fashion,0,0.5814083817906284,35
000-044P-0000,0.8404558123752501,006-0019-0000,"https://media.ng-london.org.uk/iiif/009-01CS-0000/full/256,/0/default.jpg",Uncategorised,0,0.581394263961263,27
000-03UC-0000,0.8404454755404065,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00CW-0000/full/256,/0/default.jpg",Uncategorised,0,0.5813871133456124,22
000-03O1-0000,0.8403281888207181,006-001Z-0000,"https://media.ng-london.org.uk/iiif/009-00H5-0000/full/256,/0/default.jpg",Uncategorised,0,0.5813059790074812,39
000-01D4-0000,0.8401861174029133,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-013L-0000/full/256,/0/default.jpg",Uncategorised,0,0.5812076995903264,35
000-03SL-0000,0.8401790334975234,006-0004-0000,"https://media.ng-london.org.uk/iiif/009-0158-0000/full/256,/0/default.jpg",Uncategorised,0,0.5812027992232881,22
000-04TM-0000,0.8400986013006295,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0116-0000/full/256,/0/default.jpg",Uncategorised,0,0.5811471593940153,34
000-016V-0000,0.8400550497156849,006-000P-0000,"https://media.ng-london.org.uk/iiif/009-01B9-0000/full/256,/0/default.jpg",Water,0,0.5811170321210517,20
000-06PP-0000,0.8397481014645045,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-019X-0000/full/256,/0/default.jpg",Uncategorised,0,0.5809046973975106,22
000-01AM-0000,0.8395789598916248,006-001J-0000,"https://media.ng-london.org.uk/iiif/009-01TW-0000/full/256,/0/default.jpg",Uncategorised,0,0.580787691912128,29
000-04H4-0000,0.8395525288184231,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01R7-0000/full/256,/0/default.jpg",Womens Lives,0,0.5807694079355958,19
000-02VH-0000,0.8393841954858683,006-000K-0000,"https://media.ng-london.org.uk/iiif/009-01DX-0000/full/256,/0/default.jpg",Uncategorised,0,0.5806529615590703,22
000-02QZ-0000,0.8392513390630705,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-003D-0000/full/256,/0/default.jpg",Uncategorised,0,0.580561056712905,53
000-03VQ-0000,0.8391122530624857,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-017M-0000/full/256,/0/default.jpg",Uncategorised,0,0.5804648424899244,33
000-04KI-0000,0.8390016546432131,006-0022-0000,"https://media.ng-london.org.uk/iiif/009-01NE-0000/full/256,/0/default.jpg",Uncategorised,0,0.5803883348548751,59
000-02Q8-0000,0.8389244323875644,006-0027-0000,"https://media.ng-london.org.uk/iiif/009-0024-0000/full/256,/0/default.jpg",Uncategorised,0,0.5803349155366632,45
000-0406-0000,0.8388698182411103,006-001L-0000,"https://media.ng-london.org.uk/iiif/009-00HK-0000/full/256,/0/default.jpg",Uncategorised,0,0.5802971356188947,27
000-0457-0000,0.8387468494716863,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00W9-0000/full/256,/0/default.jpg",Uncategorised,0,0.5802120706623118,49
000-04L7-0000,0.838462913671004,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01OY-0000/full/256,/0/default.jpg",Uncategorised,0,0.5800156550466194,48
000-03Z1-0000,0.8383105778172082,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-004W-0000/full/256,/0/default.jpg",Uncategorised,0,0.5799102750964918,58
000-04U4-0000,0.8382517406460015,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00FS-0000/full/256,/0/default.jpg",Uncategorised,0,0.5798695738563511,20
000-017D-0000,0.8377304008674251,006-0011-0000,"https://media.ng-london.org.uk/iiif/009-01IP-0000/full/256,/0/default.jpg",Uncategorised,0,0.579508931509215,50
000-0444-0000,0.8370563580585562,006-000A-0000,"https://media.ng-london.org.uk/iiif/009-00KV-0000/full/256,/0/default.jpg",Uncategorised,0,0.5790426552136971,37
000-03WG-0000,0.8368326873226297,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01E6-0000/full/256,/0/default.jpg",Uncategorised,0,0.5788879285987236,22
000-019H-0000,0.8367623206229204,006-0004-0000,"https://media.ng-london.org.uk/iiif/009-0053-0000/full/256,/0/default.jpg",Uncategorised,0,0.5788392516843844,25
000-02WU-0000,0.836600543295229,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00UW-0000/full/256,/0/default.jpg",Uncategorised,0,0.5787273404940829,57
