Paintings,"Score (P,U)",Room_ID,image,Stories,"Score (P,pop)",Score_AG (P),Time_est
000-04IB-0000,0.9560558371296062,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01VG-0000/full/256,/0/default.jpg",Womens Lives,0,0.6613618128988088,23
000-041O-0000,0.9548964095906358,006-001D-0000,"https://media.ng-london.org.uk/iiif/009-00LD-0000/full/256,/0/default.jpg",Uncategorised,0,0.6605597665440682,15
000-02WO-0000,0.9547908224733624,006-001W-0000,"https://media.ng-london.org.uk/iiif/009-00FY-0000/full/256,/0/default.jpg",Death,0,0.6604867255305765,18
000-032P-0000,0.9545607708737912,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01OI-0000/full/256,/0/default.jpg",Monsters_and_Demons,0,0.6603275848851833,35
000-04MP-0000,0.9543340858324344,006-002U-0000,"https://media.ng-london.org.uk/iiif/009-01HY-0000/full/256,/0/default.jpg",Uncategorised,0,0.6601707730923084,15
000-02SZ-0000,0.9533942341526372,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00DL-0000/full/256,/0/default.jpg",Uncategorised,0,0.6595206206779131,15
000-02QB-0000,0.9502129173072826,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01RY-0000/full/256,/0/default.jpg",Monsters_and_Demons,0,0.6573199108505811,16
000-03N1-0000,0.9490087337478776,006-0004-0000,"https://media.ng-london.org.uk/iiif/009-015E-0000/full/256,/0/default.jpg",Monsters_and_Demons,0,0.6564869040417924,23
000-03EU-0000,0.9467888227444085,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01KI-0000/full/256,/0/default.jpg",Womens Lives,0,0.6549512569501579,20
000-04PU-0000,0.9439534568039916,006-001V-0000,"https://media.ng-london.org.uk/iiif/009-01P9-0000/full/256,/0/default.jpg",Uncategorised,0,0.6529898623477091,16
000-03SB-0000,0.9438753677772048,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00NG-0000/full/256,/0/default.jpg",Uncategorised,0,0.6529358434313263,15
000-0307-0000,0.9431175886974432,006-000S-0000,"https://media.ng-london.org.uk/iiif/009-00EE-0000/full/256,/0/default.jpg",Contemporary_Style_and_Fashion,0,0.6524116416781394,44
000-0188-0000,0.9414028033105056,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-004G-0000/full/256,/0/default.jpg",Warfare,0,0.651225420614271,43
000-041P-0000,0.9391737331682825,006-002L-0000,"https://media.ng-london.org.uk/iiif/009-00LK-0000/full/256,/0/default.jpg",Uncategorised,0,0.6496834375908052,16
000-0400-0000,0.9389929241765872,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01PO-0000/full/256,/0/default.jpg",Contemporary_Style_and_Fashion,0,0.6495583610441308,27
